,ID_x,URL_x,ORTHO_c,ID_y,URL_y,ORTHO_n
38,1057645159221,https://nrcs.app.box.com/v/naip/file/1057645159221,ortho_1-1_hc_s_ca043_2022_1.zip,1057535989111,https://nrcs.app.box.com/v/naip/file/1057535989111,ortho_1-1_hn_s_ca045_2022_1.zip
39,1057638096771,https://nrcs.app.box.com/v/naip/file/1057638096771,ortho_1-1_hc_s_ca019_2022_1.zip,1057531649156,https://nrcs.app.box.com/v/naip/file/1057531649156,ortho_1-1_hn_s_ca043_2022_1.zip
40,1057598708184,https://nrcs.app.box.com/v/naip/file/1057598708184,ortho_1-1_hc_s_ca039_2022_1.zip,1057519639955,https://nrcs.app.box.com/v/naip/file/1057519639955,ortho_1-1_hn_s_ca029_2022_1.zip
41,1057643510619,https://nrcs.app.box.com/v/naip/file/1057643510619,ortho_1-1_hc_s_ca041_2022_1.zip,1057524058095,https://nrcs.app.box.com/v/naip/file/1057524058095,ortho_1-1_hn_s_ca041_2022_1.zip
42,1057642901204,https://nrcs.app.box.com/v/naip/file/1057642901204,ortho_1-1_hc_s_ca035_2022_1.zip,1057524022475,https://nrcs.app.box.com/v/naip/file/1057524022475,ortho_1-1_hn_s_ca035_2022_1.zip
43,1057638732090,https://nrcs.app.box.com/v/naip/file/1057638732090,ortho_1-1_hc_s_ca029_2022_1.zip,1057519315409,https://nrcs.app.box.com/v/naip/file/1057519315409,ortho_1-1_hn_s_ca039_2022_1.zip
44,1057623325156,https://nrcs.app.box.com/v/naip/file/1057623325156,ortho_1-1_hc_s_ca033_2022_1.zip,1056719657223,https://nrcs.app.box.com/v/naip/file/1056719657223,ortho_1-1_hn_s_ca033_2022_1.zip
45,1057629129928,https://nrcs.app.box.com/v/naip/file/1057629129928,ortho_1-1_hc_s_ca025_2022_1.zip,1056719671720,https://nrcs.app.box.com/v/naip/file/1056719671720,ortho_1-1_hn_s_ca025_2022_1.zip
46,1057623660035,https://nrcs.app.box.com/v/naip/file/1057623660035,ortho_1-1_hc_s_ca023_2022_1.zip,1056712970565,https://nrcs.app.box.com/v/naip/file/1056712970565,ortho_1-1_hn_s_ca023_2022_1.zip
47,1057622853709,https://nrcs.app.box.com/v/naip/file/1057622853709,ortho_1-1_hc_s_ca031_2022_1.zip,1056691947942,https://nrcs.app.box.com/v/naip/file/1056691947942,ortho_1-1_hn_s_ca031_2022_1.zip
48,1057618533886,https://nrcs.app.box.com/v/naip/file/1057618533886,ortho_1-1_hc_s_ca017_2022_1.zip,1056663533566,https://nrcs.app.box.com/v/naip/file/1056663533566,ortho_1-1_hn_s_ca021_2022_1.zip
49,1057620891350,https://nrcs.app.box.com/v/naip/file/1057620891350,ortho_1-1_hc_s_ca021_2022_1.zip,1056645056342,https://nrcs.app.box.com/v/naip/file/1056645056342,ortho_1-1_hn_s_ca017_2022_1.zip
50,1057619515239,https://nrcs.app.box.com/v/naip/file/1057619515239,ortho_1-1_hc_s_ca015_2022_1.zip,1056657689656,https://nrcs.app.box.com/v/naip/file/1056657689656,ortho_1-1_hn_s_ca015_2022_1.zip
51,1057617410588,https://nrcs.app.box.com/v/naip/file/1057617410588,ortho_1-1_hc_s_ca007_2022_1.zip,1056659936085,https://nrcs.app.box.com/v/naip/file/1056659936085,ortho_1-1_hn_s_ca007_2022_1.zip
52,1057617278748,https://nrcs.app.box.com/v/naip/file/1057617278748,ortho_1-1_hc_s_ca013_2022_1.zip,1056637186046,https://nrcs.app.box.com/v/naip/file/1056637186046,ortho_1-1_hn_s_ca009_2022_1.zip
53,1057616997753,https://nrcs.app.box.com/v/naip/file/1057616997753,ortho_1-1_hc_s_ca009_2022_1.zip,1056654571708,https://nrcs.app.box.com/v/naip/file/1056654571708,ortho_1-1_hn_s_ca013_2022_1.zip
54,1057607338046,https://nrcs.app.box.com/v/naip/file/1057607338046,ortho_1-1_hc_s_ca011_2022_1.zip,1056647143294,https://nrcs.app.box.com/v/naip/file/1056647143294,ortho_1-1_hn_s_ca011_2022_1.zip
55,1057611965725,https://nrcs.app.box.com/v/naip/file/1057611965725,ortho_1-1_hc_s_ca005_2022_1.zip,1056651144307,https://nrcs.app.box.com/v/naip/file/1056651144307,ortho_1-1_hn_s_ca005_2022_1.zip
56,1057612306339,https://nrcs.app.box.com/v/naip/file/1057612306339,ortho_1-1_hc_s_ca001_2022_1.zip,1056648624035,https://nrcs.app.box.com/v/naip/file/1056648624035,ortho_1-1_hn_s_ca001_2022_1.zip
57,1057612233962,https://nrcs.app.box.com/v/naip/file/1057612233962,ortho_1-1_hc_s_ca003_2022_1.zip,1056625536768,https://nrcs.app.box.com/v/naip/file/1056625536768,ortho_1-1_hn_s_ca003_2022_1.zip
